Stroke (mm),Force (N)
13.2339190779361,0.0124837421410312
4.11662775869266,1.99019805647226
2.48717440315808,3.99641056857501
1.80675517058219,5.99836432134423
1.36631137635881,8.00500588867467
1.05977777929361,10.0060230215205
0.88477439884541,12.0122397939463
0.757131413985093,14.0138954068971
0.644085271289464,16.0192507060135
0.56110543845499,18.0231673882371
0.489945870815635,20.0272740718159
0.434573098024143,22.0306754415945
0.373488522867268,24.034790506745
0.293047279886641,26.0360915223154
0.241799703554763,28.0423046855326
0.199754478914489,30.0474159774599
0.123279769510098,32.0504428766664
0.105033728943121,34.0545553930546
0.0893262680182236,36.0547109959082
0.0547381217011626,38.0598338042169
0.0401412893496807,40.0598284772265
