Stroke (mm),Force (N)
8.52649925767981,-0.0110417939985511
2.57351414620161,1.98980174753827
1.65541261531013,3.99471811286609
1.25232963687389,5.9953155367414
0.988631743537146,8.00044888928461
0.80846980800012,10.0001461283476
0.716921222280772,12.0051023675959
0.633861054731669,14.0057086938439
0.568333151219571,16.0093850527753
0.499473266615198,18.0118266726615
0.443147771752272,20.0145688296722
0.399198013058213,22.016495543329
0.357866183281579,24.0193422871922
0.319786940708002,26.019757357788
0.257352783779838,28.0247496870411
0.220384147624906,30.0287539561719
0.166993782051715,32.0305784411833
0.125503190181606,34.0334987766114
0.110747460255015,36.0323553435136
0.0984510177162867,38.0363179003061
0.0874238833768777,40.0355838272504
